utc_timestamp,cet_cest_timestamp,DE_solar_generation_actual,DE_wind_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,8852
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,,9054
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,,9070
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,,9163
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,,9231
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,,9689
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,,10331
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,71,10208
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,773,10029
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,2117,10550
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,3364,11390
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,4198,12103
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,3500,12505
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,2279,11921
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,746,11851
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,50,13582
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,0,15436
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,0,16868
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,0,18008
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,0,19181
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,0,20353
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,0,21235
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,0,22083
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,0,22472
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,0,23434
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,0,24248
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,0,25034
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,0,25721
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,0,26172
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,0,26355
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,0,26193
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,38,26590
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,252,25934
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,667,25641
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,1262,25810
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,1726,25642
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,1899,25795
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,1352,25297
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,516,24982
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,45,24719
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,0,24301
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,0,25010
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,0,24783
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,0,24279
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,0,24366
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,0,24546
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,0,24626
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,0,24076
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,0,23277
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,0,22117
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,0,20918
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,0,20291
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,0,20508
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,0,21327
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,0,21946
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,74,22980
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,608,23419
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,1279,23097
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,1700,23230
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,1618,22829
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,1155,21174
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,587,19464
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,195,17468
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,21,16038
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,0,15378
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,0,14449
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,0,12946
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,0,13871
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,0,15216
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,0,15811
2015-01-03T22:00:00Z,2015-01-03T23:00:00+0100,0,17337
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,0,17864
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,0,18736
2015-01-04T01:00:00Z,2015-01-04T02:00:00+0100,0,18898
2015-01-04T02:00:00Z,2015-01-04T03:00:00+0100,0,18966
2015-01-04T03:00:00Z,2015-01-04T04:00:00+0100,0,19098
2015-01-04T04:00:00Z,2015-01-04T05:00:00+0100,0,18750
2015-01-04T05:00:00Z,2015-01-04T06:00:00+0100,0,18627
2015-01-04T06:00:00Z,2015-01-04T07:00:00+0100,0,17995
2015-01-04T07:00:00Z,2015-01-04T08:00:00+0100,58,17961
2015-01-04T08:00:00Z,2015-01-04T09:00:00+0100,974,17248
2015-01-04T09:00:00Z,2015-01-04T10:00:00+0100,2771,16822
2015-01-04T10:00:00Z,2015-01-04T11:00:00+0100,4151,16905
2015-01-04T11:00:00Z,2015-01-04T12:00:00+0100,4579,16848
2015-01-04T12:00:00Z,2015-01-04T13:00:00+0100,3992,16658
2015-01-04T13:00:00Z,2015-01-04T14:00:00+0100,2421,16118
2015-01-04T14:00:00Z,2015-01-04T15:00:00+0100,952,15084
2015-01-04T15:00:00Z,2015-01-04T16:00:00+0100,84,14160
2015-01-04T16:00:00Z,2015-01-04T17:00:00+0100,0,13715
2015-01-04T17:00:00Z,2015-01-04T18:00:00+0100,0,13750
2015-01-04T18:00:00Z,2015-01-04T19:00:00+0100,0,14251
2015-01-04T19:00:00Z,2015-01-04T20:00:00+0100,0,14132
2015-01-04T20:00:00Z,2015-01-04T21:00:00+0100,0,13069
2015-01-04T21:00:00Z,2015-01-04T22:00:00+0100,0,12458
2015-01-04T22:00:00Z,2015-01-04T23:00:00+0100,0,12453
2015-01-04T23:00:00Z,2015-01-05T00:00:00+0100,0,12321
2015-01-05T00:00:00Z,2015-01-05T01:00:00+0100,0,12279
2015-01-05T01:00:00Z,2015-01-05T02:00:00+0100,0,12660
2015-01-05T02:00:00Z,2015-01-05T03:00:00+0100,0,12763
2015-01-05T03:00:00Z,2015-01-05T04:00:00+0100,0,13547
2015-01-05T04:00:00Z,2015-01-05T05:00:00+0100,0,14853
2015-01-05T05:00:00Z,2015-01-05T06:00:00+0100,0,15410
2015-01-05T06:00:00Z,2015-01-05T07:00:00+0100,0,15314
2015-01-05T07:00:00Z,2015-01-05T08:00:00+0100,93,15190
2015-01-05T08:00:00Z,2015-01-05T09:00:00+0100,1057,14611
2015-01-05T09:00:00Z,2015-01-05T10:00:00+0100,2986,13642
2015-01-05T10:00:00Z,2015-01-05T11:00:00+0100,4770,12310
2015-01-05T11:00:00Z,2015-01-05T12:00:00+0100,5870,11118
2015-01-05T12:00:00Z,2015-01-05T13:00:00+0100,5666,9794
2015-01-05T13:00:00Z,2015-01-05T14:00:00+0100,4095,7868
2015-01-05T14:00:00Z,2015-01-05T15:00:00+0100,1788,6205
2015-01-05T15:00:00Z,2015-01-05T16:00:00+0100,197,5077
2015-01-05T16:00:00Z,2015-01-05T17:00:00+0100,0,4507
2015-01-05T17:00:00Z,2015-01-05T18:00:00+0100,0,4236
2015-01-05T18:00:00Z,2015-01-05T19:00:00+0100,0,3924
2015-01-05T19:00:00Z,2015-01-05T20:00:00+0100,0,3186
2015-01-05T20:00:00Z,2015-01-05T21:00:00+0100,0,2637
2015-01-05T21:00:00Z,2015-01-05T22:00:00+0100,0,2108
2015-01-05T22:00:00Z,2015-01-05T23:00:00+0100,0,1810
2015-01-05T23:00:00Z,2015-01-06T00:00:00+0100,0,1491
2015-01-06T00:00:00Z,2015-01-06T01:00:00+0100,0,1171
2015-01-06T01:00:00Z,2015-01-06T02:00:00+0100,0,907
2015-01-06T02:00:00Z,2015-01-06T03:00:00+0100,0,840
2015-01-06T03:00:00Z,2015-01-06T04:00:00+0100,0,916
2015-01-06T04:00:00Z,2015-01-06T05:00:00+0100,0,1102
2015-01-06T05:00:00Z,2015-01-06T06:00:00+0100,0,1433
2015-01-06T06:00:00Z,2015-01-06T07:00:00+0100,0,1793
2015-01-06T07:00:00Z,2015-01-06T08:00:00+0100,183,2181
2015-01-06T08:00:00Z,2015-01-06T09:00:00+0100,2055,2622
2015-01-06T09:00:00Z,2015-01-06T10:00:00+0100,4694,3065
2015-01-06T10:00:00Z,2015-01-06T11:00:00+0100,6658,3437
2015-01-06T11:00:00Z,2015-01-06T12:00:00+0100,7272,3409
2015-01-06T12:00:00Z,2015-01-06T13:00:00+0100,6351,3773
